ID,Sentence DE,MOS,Sentence EN
18,Dadurch verlängert sich die Lebensdauer der Blase erheblich.,2.777777778,This greatly extends the life of the bubble.
19,"Die Schichtdicke der Seifenblase lässt sich beobachten: Spiegelt die Oberfläche in bunten Interferenzfarben, ist die Schichtdicke vergleichbar mit der Wellenlänge des Lichts.",4.2,"The layer thickness of the soap bubble can be observed: Reflects the surface in bright interference colors, the layer thickness is comparable to the wavelength of light."
20,Bei abnehmender Schichtdicke wird die Seifenhaut zunächst farblos und zum Schluss dunkel.,3.75,"With decreasing layer thickness, the soap skin first becomes colourless and then dark at the end."
22,Die Blasenwand ist dicker und gleichmäßiger und übersteht auch einen Nadelstich.,3.5,The bubble wall is thicker and more uniform and can also withstand a pin prick.
23,"Die Erzeugung von Seifenblasen ist möglich, da die Oberfläche einer Flüssigkeit – in diesem Falle des Wassers – eine Oberflächenspannung besitzt, die zu einem elastischen Verhalten der Oberfläche führt.",4.4,The creation of soap bubbles is possible because the surface of a liquid - in this case water - has a surface tension that leads to an elastic behavior of the surface.
25,Das Gegenteil ist jedoch der Fall: Die Oberflächenspannung des Seifenwassers ist nur etwa ein Drittel so groß wie die des Wassers.,2.555555556,"However, the opposite is true: the surface tension of soapy water is only about one-third that of water."
26,"Seifenblasen mit reinem Wasser zu machen ist so schwierig, weil die Oberflächenspannung zu hoch ist, wodurch die Blase sofort zerplatzt.",3.333333333,"Making soap bubbles with pure water is so difficult because the surface tension is too high, causing the bubble to burst immediately."
27,"Zusätzlich verlangsamt die Seife die Verdunstung, so dass die Blasen länger halten.",3.111111111,"In addition, the soap slows evaporation so that the bubbles last longer."
29,Die Oberflächenspannung ist ebenfalls der Grund für die kugelförmige Gestalt der Seifenblasen.,2.125,The surface tension is also the reason for the spherical shape of the soap bubbles.
30,"Durch Minimierung der Oberfläche zwingt sie die Blase in diese Form, da von allen möglichen Formen zu einem gegebenen Volumen die Kugel die kleinste Oberfläche aufweist.",3.666666667,"By minimizing the surface area, it forces the bubble into this shape, since of all possible shapes for a given volume, the sphere has the smallest surface area."
32,Aufgrund ihres geringen Eigengewichts kommen Seifenblasen diesem Ideal in der Realität sehr nahe.,2.357142857,"Due to their low dead weight, soap bubbles come very close to this ideal in reality."
33,"Der Begriff Badekultur oder Badewesen bezieht sich auf das Baden in warmem oder kaltem Wasser, das in erster Linie der Reinigung dient, aber auch der Förderung der Gesundheit und des Wohlbefindens.",3.0,"The term bathing culture or bathing refers to bathing in warm or cold water, primarily for purification, but also to promote health and well-being."
34,"Das Dampfbad, heute zur Sauna gezählt, diente ebenfalls diesem Zweck.",1.555555556,"The steam bath, today counted as a sauna, also served this purpose."
35,"Die Ursprünge der europäischen Badekultur liegen in der Antike, als öffentliche Thermen auch eine wichtige soziale Funktion hatten.",1.7,"The origins of European bathing culture lie in antiquity, when public spas also had an important social function."
36,Mit der Völkerwanderung kam der Zerfall der römischen Badekultur.,1.666666667,With the migration of peoples came the disintegration of Roman bathing culture.
37,Im Byzantinischen Reich dagegen blieb die Tradition bestehen und wurde später von den islamischen Eroberern fortgeführt (etwa in Gestalt des hamm?m).,2.0,"In the Byzantine Empire, on the other hand, the tradition remained and was later continued by the Islamic conquerors (for example in the form of the hamm?m)."
38,"Im Mittelalter wurde die Tradition auch in Europa wieder aufgenommen, mit den im Vergleich zu den Thermen allerdings bescheiden dimensionierten Badehäusern.",2.444444444,"In the Middle Ages, the tradition was taken up again in Europe, with bathhouses that were, however, modest in size compared to the thermal baths."
40,Über private Badezimmer verfügte die große Masse der europäischen Bevölkerung erst ab dem 20Jahrhundert.,1.8,Private bathrooms were not available to the majority of the European population until the 20th century.
41,Die Bedeutung des Bades in verschiedenen Epochen war immer eng mit den jeweils herrschenden Vorstellungen von Hygiene verknüpft.,2.2,The importance of the bath in different epochs was always closely connected with the respectiveto the prevailing notions of hygiene.
43,"In Mohenjo-Daro lag ein Bad auf der „Zitadelle“ und befand sich in einem Gebäude mit einem 7 × 12 m großen und 2,4 m tiefen Becken, in das zwei Treppen hinabführten.",2.444444444,"In Mohenjo-Daro, a bath was located on the ""citadel"" and was in a building with a pool measuring 7 × 12 m and 2.4 m deep, into which two staircases led down."
44,Die Wasserversorgung erfolgte über Brunnen.,1.444444444,Water was supplied by wells.
45,"Die Größe der Anlage deutet an, dass dieses Bad nicht nur der Körperreinigung, sondern wohl auch rituellen Zwecken und dem Vergnügen am Baden dienen sollte.",3.0,"The size of the complex indicates that this bath was not only intended for body cleansing, but probably also for ritual purposes and the pleasure of bathing."
46,"Aber nicht nur in diesem wohl öffentlichen Gebäude fand man Badeeinrichtungen, sondern auch in vielen Häusern der Stadt, die auf ein ausgeprägtes Hygienebedürfnis der Bewohner, vielleicht aber auch auf rituelle Waschungen schließen lassen.",4.181818182,"But bathing facilities were found not only in this probably public building, but also in many houses in the city, suggesting a pronounced need for hygiene on the part of the inhabitants, but perhaps also ritual ablutions."
47,"Weitere frühe Badeanlagen sind aus dem Alten Reich des Alten Ägyptens (ca 2700–2200 v Chr), aus Mari in Mesopotamien (um 2000 v Chr), auch aus Knossos in der Minoischen Kultur (um 2000 v Chr) sowie aus der Mykenischen Kultur (ab ca 1600 v Chr) bekannt.",2.777777778,"Other early baths are known from the Old Kingdom of Ancient Egypt (ca 2700-2200 BC), from Mari in Mesopotamia (ca 2000 BC), also from Knossos in the Minoan culture (ca 2000 BC) as well as from the Mycenaean culture (from ca 1600 BC)."
48,Im antiken Griechenland und bei den Römern hatte die Badekultur einen sehr hohen Stellenwert.,1.8,"In ancient Greece and with the Romans, the bathing culture had a very high value."
50,"Die im späten 8 Jahrhundert v Chr niedergeschriebene Odyssee, die die Abenteuer des Königs Odysseus von Ithaka und seiner Gefährten auf der Heimkehr aus dem Trojanischen Krieg schildert, belegt in zahlreichen Versen den hohen Stellenwert, den die Griechen einer Reinigung mit Wasser beimaßen.",4.285714286,"The Odyssey, written in the late 8th century B.C., which describes the adventures of King Odysseus of Ithaca and his companions returning home from the Trojan War, attests in numerous verses to the high value the Greeks placed on cleansing with water."
51,"So schildert der achte Gesang beispielsweise, wie im Hause des Phaiakenkönigs Alkinoos Odysseus von den Haussklaven ein Bad zubereitet wird, bevor er sich an der Tafel seines Gastgebers niederlässt.",4.3,"For example, the eighth canto describes how, in the house of the Phaiak king Alcinoos, Odysseus is prepared a bath by the house slaves before settling down at his host's table."
52,"Vergleichbare Stellen belegen eine sorgfältige Reinigung vor Gebeten und Opfern und die Sitte, dem Gast zunächst Wasser zu reichen, damit er sich seine Hände waschen könne und ihm anschließend ein Bad anzubieten.",4.7,Comparable passages attest to careful cleansing before prayers and sacrifices and to the custom of first giving the guest water to wash his hands and then offering him a bath.
53,Im 5 Jahrhundert v Chr entstanden öffentliche Badeanstalten mit einem Becken und Wannen sowie einem Salbraum (griechisch ????????? balaneion „Badstube“ bzw ??????? lutron „Bad“).,2.9,"In the 5th century BC, public baths with a basin and tubs and an anointing room (Greek ????????? balaneion ""bathing room"" or ??????? lutron ""Bathroom"")."
54,Ab dem 4 Jahrhundert wurden öffentliche Bäder zu einer verbreiteten Einrichtung in griechischen Städten.,2.0,"Beginning in the 4th century, public baths became a common fixture in Greek cities."
55,"Ein bestimmtes Bauschema scheint es nicht gegeben zu haben, man findet Räume mit meist 10 bis 22 Wannen oder Sitzwannen sowohl in rechteckiger (zum Beispiel in Olympia) als auch kreisbogenförmiger Anordnung (zum Beispiel in Gortyn, Gela und Megara Hyblaea).",3.6,"There does not seem to have been a certain building scheme, one finds rooms with mostly 10 to 22 tubs or seat tubs both in rectangular (for example in Olympia) and circular arrangement (for example in Gortyn, Gela and Megara Hyblaea)."
57,Neben diesen öffentlichen Bädern gab es auch in Privathäusern bereits Badezimmer.,1.5,"In addition to these public baths, there were already bathrooms in private houses."
58,Häufig enthielten sie nur ein Waschbecken in Hüfthöhe.,3.4,Often they contained only a wash basin at waist height.
61,Es gab außerdem trockene Heißluftbäder.,1.545454545,There were also dry hot air baths.
62,"Das waren kleine Räume, in denen ein Becken mit Holzkohle für Hitze sorgte.",2.285714286,These were small rooms in which a basin of charcoal provided heat.
63,300 Jahre später wurde das so genannte Hypokaustum zur Beheizung der Badeanlagen eingeführt.,2.352941176,"300 years later, the so-called hypocaust was introduced to heat the baths."
65,"Da die Athleten sich für die Wettkämpfe mit Sand und Öl einrieben, wurden Schweiß und Schmutz hinterher mit einer Strigilis (Hautschaber) und Wasser entfernt.",3.571428571,"As the athletes rubbed themselves with sand and oil for the competitions, sweat and dirt were removed afterwards with a strigilis (skin scraper) and water."
66,"Es gibt keine Belege, dass Gymnasia vor der römischen Zeit ihren Nutzern bereits heißes Wasser anboten, obwohl dieses zur Entfernung des Öls und Schmutzes besser geeignet gewesen wäre.",3.7,"There is no evidence that gymnasia offered hot water to their users before the Roman period, although this would have been better for removing the oil and dirt."
67,"Die griechischen Sportstätten mit integrierten Bädern waren allerdings bereits zu diesem Zeitpunkt Begegnungsstätten, in denen man sich stundenlang aufhielt.",4.75,"The Greek sports facilities with integrated baths, however, were already at this time meeting places where people spent hours."
69,Die Vorliebe für warme Bäder war in der griechischen Gesellschaft nicht ohne Kritik.,1.733333333,The preference for warm baths was not without criticism in Greek society.
70,"Der griechische Komödiendichter Aristophanes (um 450 bis 380 v Chr) zweifelt in Die Wolken daran, ob die sich in warmen Bädern verweichlichenden Griechen noch über die Manneskraft verfügten, die ihre Vorfahren in der Schlacht bei Marathon erfolgreich sein ließen.",3.9,"In The Clouds, the Greek comic poet Aristophanes (c. 450 to 380 B.C.) doubts whether Greeks who indulge in warm baths still have the manhood that made their ancestors successful in the battle of Marathon."
71,"Platon (um 428 bis 348 v Chr) plädierte in seinem Dialog Nomoi dafür, heiße Bäder auf Alte und Kranke zu beschränken.",2.333333333,Plato (c. 428 to 348 BC) advocated in his dialogue Nomoi that hot baths should be limited to the old and the sick.
72,"Noch rigoroser in ihrer Ablehnung waren die Spartaner, die in ihrer Ablehnung warmer Bäder sich auf ihren mythischen Staatsgründer Lykurg beriefen und in ihnen eine Gefahr für die Kriegsfähigkeit ihres Staates sahen.",5.0,"Even more rigorous in their rejection were the Spartans, who in their rejection of warm baths invoked their mythical state founder Lykurg and saw in them a danger to their state's ability to wage war."
73,"Griechische Ärzte wandten bereits Hydrotherapie an, die sie von den Ägyptern übernommen hatten.",2.133333333,"Greek physicians were already using hydrotherapy, which they had adopted from the Egyptians."
74,Hippokrates war ein bekannter Befürworter der Kaltwasserbehandlungen.,2.285714286,Hippocrates was a well-known proponent of cold water treatments.
75,Er empfahl kalte Wassergüsse bei Rheuma und Gicht sowie kalte Wickel gegen Fieber.,3.071428571,He recommended cold water showers for rheumatism and gout as well as cold compresses against fever.
76,"Außerdem waren bereits zahlreiche Heilquellen bekannt, von denen viele Göttern geweiht waren.",3.625,"In addition, numerous healing springs were already known, many of which were dedicated to gods."
77,"An besonders wirksamen Quellen wurden so genannte Asklepios-Tempel errichtet, die von Kranken aufgesucht wurden und die im Grunde schon Sanatorien waren.",3.3,"At particularly effective springs so-called temples of Asklepios were erected, which were visited by the sick and which were basically already sanatoria."
78,Der berühmteste dieser Tempel befand sich in der Stadt Epidauros.,1.454545455,The most famous of these temples was in the city of Epidauros.
80,"Der Ausdruck Fahrradfahren – auch Radfahren oder Radeln, schweizerisch Velofahren – bezeichnet die Fortbewegung auf einem Fahrrad, sei es als Verkehrsmittel im Radverkehr oder als Sportart, die als Freizeitbeschäftigung, zur Erhaltung der Gesundheit oder als sportlicher Wettkampf bis hin zum Leistungssport betrieben wird.",4.0,"The term cycling - also Radfahren or Radeln, Swiss Velofahren - denotes locomotion on a bicycle, whether as a means of transport in cycling traffic or as a sport pursued as a leisure activity, for the preservation of health or as a sporting competition up to and including competitive sport."
81,Die Durchschnittsgeschwindigkeiten beim Fahrradfahren liegen für gewöhnlich bei 10 bis 25 km/h.,1.555555556,Average speeds when cycling are usually between 10 and 25 km/h.
82,"Ein Fahrrad mit limitierter Tretunterstützung („Pedelec“) unterstützt den Fahrer bis zu einer Geschwindigkeit von 25 km/h, bestimmte Modelle sogar bis 45 km/h (S-Pedelec).",2.333333333,"A bicycle with limited pedal assistance (""pedelec"") supports the rider up to a speed of 25 km/h, certain models even up to 45 km/h (S-pedelec)."
83,Bei der Tour de France liegt die höchste Durchschnittsgeschwindigkeit eines Fahrers bei 41 km/h.,1.3,"In the Tour de France, the highest average speed of a rider is 41 km/h."
84,Bei Abfahrten werden teilweise Geschwindigkeiten über 100 km/h erreicht.,1.4,"On descents, speeds of over 100 km/h are sometimes reached."
85,"Ohne Höhenunterschiede werden höhere Durchschnittsgeschwindigkeiten erreicht: Der Stundenweltrekord für normale Fahrräder liegt seit 2005 bei 50 km/h, mit besonders aerodynamischen Fahrrädern bei 56 km/h.",2.933333333,"Without altitude differences, higher average speeds are achieved: the hourly world record for normal bicycles has been 50 km/h since 2005, and 56 km/h with particularly aerodynamic bicycles."
86,"Der Geschwindigkeitsweltrekord, der in Bergabfahrt auf einem speziell angefertigten Mountainbike ohne Hilfsantrieb erreicht wurde, liegt bei 223,3 km/h.",3.3,"The world speed record, achieved in downhill riding on a specially made mountain bike without auxiliary drive, is 223.3 km/h."
87,Der allgemeine Stundenweltrekord für ausschließlich mit eigener Muskelkraft betriebene Fahrzeuge liegt deutlich über dem Rekord mit einem klassischen Rennrad.,3.272727273,The general hourly world record for vehicles powered solely by their own muscle power is significantly higher than the record set by a classic racing bicycle.
88,"Die Französin Barbara Buatois fuhr mit einem vollverkleideten Liegerad am 19 Juli 2009 im US-amerikanischen Romeo eine Strecke von 84,02 km, womit sie als erste Frau eine Strecke von mehr als 80 km in einer Stunde mit einem Liegerad zurücklegte.",3.666666667,"Frenchwoman Barbara Buatois rode a fully-disguised recumbent bike a distance of 84.02 km in Romeo, USA, on July 19, 2009, making her the first woman to ride more than 80 km in one hour on a recumbent bike."
89,"Den aktuellen Stundenweltrekord der Männer hält der Schweizer Francesco Russo; er fuhr am 26 Juni 2016 im deutschen Klettwitz 92,43 km.",2.6,"The current men's hour world record is held by Francesco Russo of Switzerland; he rode 92.43 km on 26 June 2016 in Klettwitz, Germany."
90,Ohne Eingriffe durch den Fahrer würde ein Rad innerhalb kürzester Zeit umfallen.,2.125,"Without intervention by the driver, a wheel would fall over within a very short time."
91,Der Fahrer hält das System Fahrrad/Fahrer mit kleinen Lenkausschlägen im Gleichgewicht.,2.8,The rider keeps the bicycle/rider system in balance with small steering deflections.
92,In den letzten Jahren wurden durch die Zunahme des Radfahrens auch vermehrt die medizinischen Aspekte des Fahrradfahrens untersucht.,2.222222222,"In recent years, due to the increase in cycling, the medical aspects of cycling have also been increasingly studied."
93,Generell gilt Fahrradfahren als sehr gesund (Herz- und Kreislauftraining) und gelenkschonend.,1.875,"In general, cycling is considered very healthy (cardiovascular training) and easy on the joints."
94,"Dabei kommt es aber darauf an, eine gute Ergonomie für den gesamten Körper herzustellen.",3.1,"However, it is important to create good ergonomics for the entire body."
95,Nicht alle Arten des Radfahrens erreichen dies in gleicher Weise.,1.7,Not all types of cycling achieve this in the same way.
96,"Untersuchungen unter anderem des ADFC haben ergeben, dass die Haltung auf dem sogenannten Reiserad bei richtiger Rahmengröße und richtigem Sattel die Haltung ist, die der menschlichen Anatomie am stärksten entgegenkommt.",4.722222222,"Studies by the ADFC, among others, have shown that the posture on the so-called touring bike, with the correct frame size and saddle, is the posture that most closely conforms to the human anatomy."
97,"Wichtig ist, beim Fahrradfahren eine möglichst gleichmäßige Belastung der Kontaktpunkte des Fahrers mit dem Fahrrad gemäß der natürlichen Anatomie des Menschen zu erreichen.",2.1,"When riding a bicycle, it is important to achieve as even a load as possible on the contact points of the rider with the bicycle in accordance with the natural human anatomy."
98,"Dabei trägt naturgemäß der Fuß mit dem Kontaktpunkt Pedal den größten Teil des Körpergewichtes, und der Fuß ist von Natur auch dafür geschaffen, die Körperlast zu tragen.",3.0,"In this case, the foot with the pedal contact point naturally bears the largest part of the body weight, and the foot is also naturally designed to bear the body load."
99,"Um die ergonomischste Rückenhaltung zu erreichen, sollte die Sitzhaltung idealerweise so sein, dass die imaginäre Linie zwischen Schulterblatt und höchstem Punkt des Pedals senkrecht ist.",3.466666667,"To achieve the most ergonomic back posture, the sitting posture should ideally be such that the imaginary line between the shoulder blade and the highest point of the pedal is vertical."
100,"Um eine optimale Versorgung der Füße und eine möglichst geringe Belastung der Knie zu erreichen, sollte die Sattelhöhe so eingestellt werden, dass beim Treten der Pedale am tiefsten Punkt das Bein immer noch leicht angewinkelt ist.",4.6,"In order to achieve optimum support for the feet and the least possible strain on the knees, the saddle height should be adjusted so that when pedalling at the lowest point the leg is still slightly bent."
101,Als zweitgrößte Belastungszone ist der Kontakt zwischen Gesäß und Sattel anzusehen.,3.3,The second largest stress zone is the contact between the buttocks and the saddle.
102,"Dieser Berührungspunkt kann insbesondere daher problematisch werden, da das menschliche Becken mit seinen Sitzbeinhöckern und dem Schambein (bzw den Schambeinkufen, auch Schambeinkamm genannt) durch den Kippwinkel des Beckens Auswirkungen auf die Biegung der gesamten Wirbelsäule hat.",5.888888889,"This point of contact can be particularly problematic because the human pelvis with its ischial tuberosities and the pubic bone (or the pubic tuberosities, also called the pubic crest) has an effect on the bending of the entire spine due to the tilting angle of the pelvis."
103,Somit kann eine falsche Beckenhaltung (zB um Missempfindungen aufgrund des Sattels zu vermeiden) zu einer starken Belastung der Wirbelsäule führen.,3.7,"Thus, an incorrect pelvic posture (e.g. to avoid discomfort due to the saddle) can lead to a heavy load on the spine."
104,"Gleichfalls problematisch wird ein falscher Beckenwinkel auf dem Sattel für den gesamten Beckenbereich, da dieser Bereich stark mit Blut- und Nervenbahnen durchzogen ist, die auf der Innenseite der Oberschenkel liegen und die die unteren Gliedmaße zu versorgen haben.",5.2,"Likewise, an incorrect pelvic angle on the saddle becomes problematic for the entire pelvic area, as this area is heavily infused with blood and nerve pathways that lie on the inside of the thighs and supply the lower limb."
105,"Werden diese Versorgungsbahnen durch ein Aufliegen des Schambeins bzw der Schambeinkufen / des Schambeinkamms auf dem Sattel längere Zeit eingeengt oder gar gequetscht, können dadurch Schädigungen der entsprechenden Gefäße und Versorgungsbahnen entstehen.",6.3,"If these supply channels are constricted or even squeezed for a longer period of time by resting the pubic bone or the pubic tuberosities / the pubic ridge on the saddle, this can cause damage to the corresponding vessels and supply channels."
106,"Daher ist es notwendig, die Hauptbelastung dieses Kontaktpunktes auf die Sitzhöcker zu bringen und möglichst wenig Druck auf den Bereich der Schambeinkufen, des Damms, der Genitalien und der innenliegenden obersten Teile der Oberschenkel auszuüben.",4.75,"Therefore, it is necessary to shift the main load of this contact point to the seat cusps.and exert as little pressure as possible on the area of the pubic bones, the perineum, the genitals and the inner uppermost parts of the thighs."
107,Schließlich bilden die Hände mit dem Lenker den dritten Kontaktpunkt zwischen Radfahrer und Fahrrad.,2.6,"Finally, the hands with the handlebars form the third point of contact between the cyclist and the bicycle."
108,"Auch hier sind medizinische Aspekte zu beachten, um eine optimale Blut- und Nervenversorgung der Hände und Finger zu gewährleisten.",2.666666667,"Here, too, medical aspects must be taken into account in order to ensure an optimal blood and nerve supply to the hands and fingers."
109,"Dabei spielt die Entfernung des Lenkers zum Gesäß des Radfahrers genauso eine wichtige Rolle wie die Lenkerform (Biegung) und die Höhe des Lenkers, der optimalerweise in gleicher Höhe wie die Mitte der Beckenknochen sein sollte.",4.0,"The distance of the handlebars from the cyclist's buttocks plays just as important a role as the shape of the handlebars (bend) and the height of the handlebars, which should ideally be at the same height as the middle of the pelvic bones."
111,Der Abstand zwischen beiden Händen (gemessen vom kleinen Finger der einen zum kleinen Finger der anderen Hand) sollte nur unwesentlich den Abstand der Schulterblätter übersteigen.,3.357142857,The distance between the two hands (measured from the little finger of one hand to the little finger of the other hand) should only slightly exceed the distance between the shoulder blades.
112,"Die Hand sollte die gerade Verlängerung des Unterarms bilden und weder nach oben noch nach unten geknickt werden, um so durch das Handgelenk eine permanente und ungehinderte Blutversorgung der gesamten Hand sicherzustellen.",4.7,"The hand should form the straight extension of the forearm and should not be bent upwards or downwards, thus ensuring a permanent and unobstructed blood supply to the entire hand through the wrist."
113,"Wird das Gewicht gleichmäßig auf die drei Kontaktpunkte verteilt, entsteht ein zusätzlicher Druckpunkt an der Wirbelsäule zwischen den Schultern, dort wo die Arme ansetzen.",3.133333333,"If the weight is distributed evenly over the three contact points, an additional pressure point is created on the spine between the shoulders, where the arms attach."
114,"Als grobe Richtlinie sollten die imaginären Verbindungslinien der drei Kontaktpunkte und des Schulterblattes eine Raute darstellen, deren Seiten möglichst etwa gleich lang sein sollten.",3.647058824,"As a rough guideline, the imaginary connecting lines of the three contact points and the shoulder blade should represent a rhombus, the sides of which should be approximately the same length if possible."
115,"Ein Geldautomat, Geldausgabeautomat (GAA), Bankautomat, Bankomat, Bancomat oder wie im Englischen ATM (Automated Teller Machine) ist ein technisches Gerät zur Bargeldabhebung in Selbstbedienung bei Geld- und Kreditinstituten vom eigenen Giro- oder Kreditkartenkonto (siehe auch Electronic Cash).",2.727272727,An automated teller machine (ATM) is a technical device for withdrawing cash in self-service at cash and credit institutions from one's own current or credit card account (see also Electronic Cash).
117,"Der Geldausgabeautomat war – noch vor dem PC – das erste Computerterminal, das breiten Bevölkerungsschichten weltweit zugänglich war.",2.125,The ATM was - even before the PC - the first computer terminal accessible to broad sections of the population worldwide.
118,In Deutschland hat sich der Begriff Geld(ausgabe)automat durchgesetzt.,1.7,"In Germany, the term Geld(ausgabe)automat has become established."
119,"In Österreich ist der Begriff Bankautomat bzw Bankomat etabliert, in der Schweiz und in Liechtenstein wird der Begriff Bancomat für Automaten, deren Betreiber eine Bank ist, sowie Postomat für Automaten der Post verwendet.",3.0,"In Austria, the term ""Bankautomat"" or ""Bankomat"" is established; in Switzerland and Liechtenstein, the term ""Bancomat"" is used for machines operated by a bank, and ""Postomat"" for machines operated by the post office."
120,"Im englischsprachigen Raum (UK) ist die Bezeichnung Cash Dispenser, (USA, Australien) Automated Teller Machine (englisch teller ‚Schalterbeamter‘) oder Automatic Teller Machine (ATM) oder wie in Kanada Automated Banking Machine (ABM) üblich.",2.125,"In the English-speaking world (UK), the term Cash Dispenser, (USA, Australia) Automated Teller Machine (English teller 'counter clerk') or Automatic Teller Machine (ATM) or as in Canada Automated Banking Machine (ABM) is common."
121,"Gebräuchlich sind Bezeichnungen wie Cash Machine, Money Machine, Cashpoint, Cashline oder bauartbezogen Hole in the Wall („Loch in der Wand“).",2.666666667,"Common names are Cash Machine, Money Machine, Cashpoint, Cashline or, in terms of construction, Hole in the Wall."
123,Eine Unterteilung wird gleichfalls nach standortbedingter Bauform vorgenommen.,3.444444444,A subdivision is also made according to location-related design.
127,Die Bezahlmöglichkeit per Karte und einen ähnlichen Aufbau sowie ähnliche Sicherheitsproblematik wie ein Geldautomat besitzen Fahrkartenautomaten und andere Selbstbedienungsautomaten.,3.928571429,The payment option by card and a similar design and similar security issues as a cash machine have ticket machines and other self-service machines.
128,"Das Kernstück eines „GAA“ ist ein gepanzerter Tresor, der in Deutschland in der Regel vier Geldkassetten enthält, die jeweils 2800 Euro-Geldnoten aufnehmen können.",2.777777778,"The core of a ""GAA"" is an armoured safe, which in Germany usually contains four cash cassettes, each of which can hold 2800 euro notes."
129,Der Tresor ist in der Regel fest eingemauert oder auf andere Weise mit dem Boden oder der Wand armiert.,2.2,The safe is usually firmly walled in or otherwise reinforced to the floor or wall.
130,"Weitergehende Sicherungsmaßnahmen können eine Videoüberwachung und eine Zugangskontrolle durch einen Türöffner sein, denn viele GAA befinden sich in Vorräumen der Geschäftsstellen der Banken, sodass sie auch außerhalb der Schalteröffnungszeiten zugänglich sind.",3.8,"Further security measures can include video surveillance and access control by means of a door opener, as many GAAs are located in the anterooms of bank branches, so that they are also accessible outside counter opening hours."
132,"Die Softwareausstattung besteht aus einem üblichen Betriebssystem wie beispielsweise Windows XP, Gerätetreibern, einer Kommunikationsschicht (zB CEN/XFS oder J/XFS) und einer Anwendung, die den Geldautomaten steuert und die Kommunikation mit der Gegenstelle (Server/Host) organisiert.",3.6,"The software equipment consists of a common operating system such as Windows XP, device drivers, a communication layer (e.g. CEN/XFS or J/XFS) and an application that controls the ATM and organizes the communication with the remote station (server/host)."
133,Frühe Geldautomaten wurden hardwarenah durch einen Großrechner gesteuert.,2.25,Early ATMs were hardware controlled by a mainframe computer.
